Name,Team Name,Position,Age,Season,FIFA rating,Injury,Date of Injury,Date of return,Match1_before_injury_Result,Match1_before_injury_Opposition,Match1_before_injury_GD,Match1_before_injury_Player_rating,Match2_before_injury_Result,Match2_before_injury_Opposition,Match2_before_injury_GD,Match2_before_injury_Player_rating,Match3_before_injury_Result,Match3_before_injury_Opposition,Match3_before_injury_GD,Match3_before_injury_Player_rating,Match1_missed_match_Result,Match1_missed_match_Opposition,Match1_missed_match_GD,Match2_missed_match_Result,Match2_missed_match_Opposition,Match2_missed_match_GD,Match3_missed_match_Result,Match3_missed_match_Opposition,Match3_missed_match_GD,Match1_after_injury_Result,Match1_after_injury_Opposition,Match1_after_injury_GD,Match1_after_injury_Player_rating,Match2_after_injury_Result,Match2_after_injury_Opposition,Match2_after_injury_GD,Match2_after_injury_Player_rating,Match3_after_injury_Result,Match3_after_injury_Opposition,Match3_after_injury_GD,Match3_after_injury_Player_rating,Player_Avg_Rating_Before_Injury,Player_Avg_Rating_After_Injury,Avg_GD_Before_Injury,Avg_GD_Missed_Matches,Team_Performance_Drop_Index
Willian,Arsenal,Left winger,32,2020/21,85.0,Calf injury,"Nov 23, 2020","Nov 28, 2020",lose,Liverpool,-2.0,5.8,win,Sheffield,1.0,6.1,lose,Man City,-1.0,5.8,lose,Leicester,-1.0,Missing,,,Missing,,,win,Man United,1.0,6.1,lose,Aston Villa,-3.0,6.3,draw,Leeds,0.0,6.1,5.8999999999999995,6.166666666666667,-0.6666666666666666,-1.0,0.33333333333333337
Willian,Arsenal,Left winger,32,2020/21,85.0,Ill,"Dec 25, 2020","Jan 1, 2021",lose,Tottenham,-2.0,7.0,lose,Burnley,-1.0,7.4,lose,Everton,-1.0,6.3,win,Chelsea,2.0,win,Brighton,1.0,Missing,,,win,West Brom,4.0,6.7,win,Newcastle,3.0,6.2,win,Southampton,2.0,6.1,6.8999999999999995,6.333333333333333,-1.3333333333333333,1.5,-2.833333333333333
Kieran Tierney,Arsenal,Left Back,25,2021/22,79.0,Ankle problems,"Oct 21, 2021","Nov 6, 2021",draw,Tottenham,0.0,6.7,draw,Brighton,0.0,5.9,win,Crystal Palace,2.0,6.4,win,Aston Villa,2.0,win,Leicester,2.0,Missing,,,Missing,,,,Missing,,,,Missing,,,,6.333333333333333,,0.6666666666666666,2.0,-1.3333333333333335
Kieran Tierney,Arsenal,Left Back,25,2021/22,79.0,Knee surgery,"Mar 31, 2022","Jul 7, 2022",win,Leicester,2.0,6.6,lose,Liverpool,-2.0,6.0,win,Aston Villa,1.0,6.7,lose,Crystal Palace,-3.0,lose,Brighton,-1.0,lose,Southampton,-1.0,Missing,,,,Missing,,,,Missing,,,,6.433333333333334,,0.3333333333333333,-1.6666666666666667,2.0
Granit Xhaka,Arsenal,Defensive Midfielder,29,2021/22,83.0,Inner ligament injury,"Sep 27, 2021","Dec 5, 2021",win,Tottenham,2.0,7.1,Missing,,,,Missing,,,,draw,Brighton,0.0,draw,Crystal Palace,0.0,win,Aston Villa,2.0,win,Everton,1.0,6.3,win,Southampton,3.0,6.3,win,West Ham,2.0,7.0,7.1,6.533333333333334,2.0,0.6666666666666666,1.3333333333333335
Pierre-Emerick Aubameyang,Arsenal,Center Forward,33,2021/22,87.0,Coronavirus,"Aug 2, 2021","Aug 16, 2021",Missing,,,,Missing,,,,Missing,,,,lose,Brentford,-2.0,Missing,,,Missing,,,lose,Chelsea,-2.0,6.0,lose,Man City,-5.0,5.3,win,Norwich City,1.0,7.0,,6.1000000000000005,,-2.0,
Alexandre Lacazette,Arsenal,Center Forward,31,2021/22,84.0,Coronavirus,"Apr 14, 2022","Apr 19, 2022",win,Aston Villa,1.0,6.2,lose,Crystal Palace,-3.0,5.7,lose,Brighton,-1.0,5.4,lose,Southampton,-1.0,Missing,,,Missing,,,Missing,,,,Missing,,,,Missing,,,,5.766666666666667,,-1.0,-1.0,0.0
Gabriel Magalhães,Arsenal,Center Back,24,2021/22,80.0,Knee injury,"Jul 6, 2021","Aug 25, 2021",Missing,,,,Missing,,,,Missing,,,,lose,Brentford,-2.0,lose,Chelsea,-2.0,Missing,,,win,Norwich City,1.0,8.0,win,Burnley,1.0,7.4,win,Tottenham,2.0,6.0,,7.133333333333333,,-2.0,
Thomas Partey,Arsenal,Defensive Midfielder,29,2021/22,84.0,Ankle injury,"Jul 29, 2021","Aug 30, 2021",Missing,,,,Missing,,,,Missing,,,,lose,Brentford,-2.0,lose,Chelsea,-2.0,lose,Man City,-5.0,win,Norwich City,1.0,7.0,win,Burnley,1.0,6.5,win,Tottenham,2.0,6.8,,6.766666666666667,,-3.0,
Thomas Partey,Arsenal,Defensive Midfielder,29,2021/22,84.0,Knock,"Apr 4, 2022","Jul 25, 2022",lose,Liverpool,-2.0,7.1,win,Aston Villa,1.0,7.0,lose,Crystal Palace,-3.0,5.8,lose,Brighton,-1.0,lose,Southampton,-1.0,win,Chelsea,2.0,Missing,,,,Missing,,,,Missing,,,,6.633333333333333,,-1.3333333333333333,0.0,-1.3333333333333333
Ben White,Arsenal,Right Back,24,2021/22,76.0,Hamstring injury,"Apr 25, 2022","May 15, 2022",lose,Southampton,-1.0,6.8,win,Chelsea,2.0,6.3,win,Man United,2.0,6.1,win,West Ham,1.0,win,Leeds,1.0,Missing,,,lose,Newcastle,-2.0,5.3,Missing,,,,Missing,,,,6.3999999999999995,5.3,1.0,1.0,0.0
Takehiro Tomiyasu,Arsenal,Right Back,23,2021/22,78.0,Calf injury,"Feb 20, 2022","Apr 21, 2022",lose,Man City,-1.0,6.4,Missing,,,,Missing,,,,win,Wolves,1.0,win,Watford,1.0,win,Leicester,2.0,Missing,,,,win,West Ham,1.0,6.2,win,Leeds,1.0,7.0,6.4,6.6,-1.0,1.3333333333333333,-2.333333333333333
Gabriel Martinelli,Arsenal,Left winger,22,2022/23,81.0,Ankle injury,"May 14, 2023","Jun 1, 2023",win,Chelsea,2.0,5.8,win,Newcastle,2.0,7.3,lose,Brighton,-3.0,5.5,lose,Nottm Forest,-1.0,win,Wolves,5.0,Missing,,,Missing,,,,Missing,,,,Missing,,,,6.2,,0.3333333333333333,2.0,-1.6666666666666667
Eddie Nketiah,Arsenal,Center Forward,24,2022/23,75.0,Ankle injury,"Mar 2, 2023","Apr 13, 2023",win,Aston Villa,2.0,7.0,win,Leicester,1.0,5.5,win,Everton,4.0,6.9,win,Bournemouth,1.0,win,Fulham,3.0,win,Crystal Palace,3.0,Missing,,,,draw,Southampton,0.0,5.3,lose,Man City,-3.0,6.0,6.466666666666666,5.65,2.3333333333333335,2.3333333333333335,0.0
William Saliba,Arsenal,Center Back,22,2022/23,82.0,Back injury,"Mar 16, 2023","Jul 1, 2023",win,Everton,4.0,6.7,win,Bournemouth,1.0,7.0,win,Fulham,3.0,7.8,win,Crystal Palace,3.0,win,Leeds,3.0,draw,Liverpool,0.0,Missing,,,,Missing,,,,Missing,,,,7.166666666666667,,2.6666666666666665,2.0,0.6666666666666665
Thomas Partey,Arsenal,Defensive Midfielder,30,2022/23,85.0,Thigh problems,"Aug 25, 2022","Sep 15, 2022",win,Crystal Palace,2.0,7.6,win,Leicester,2.0,6.6,win,Bournemouth,3.0,7.2,win,Fulham,1.0,win,Aston Villa,1.0,lose,Man United,-2.0,win,Brentford,3.0,7.0,win,Tottenham,2.0,8.1,win,Liverpool,1.0,7.0,7.133333333333333,7.366666666666667,2.3333333333333335,0.0,2.3333333333333335
Mohamed Elneny,Arsenal,Defensive Midfielder,30,2022/23,77.0,Thigh problems,"Aug 27, 2022","Nov 1, 2022",win,Fulham,1.0,6.7,Missing,,,,Missing,,,,win,Aston Villa,1.0,lose,Man United,-2.0,lose,Brentford,3.0,Missing,,,,Missing,,,,Missing,,,,6.7,,1.0,0.6666666666666666,0.33333333333333337
Mohamed Elneny,Arsenal,Defensive Midfielder,30,2022/23,77.0,Knee injury,"Jan 14, 2023","Sep 20, 2023",Missing,,,,win,West Ham,2.0,,win,Brighton,2.0,5.6,win,Tottenham,2.0,win,Man United,1.0,lose,Everton,-1.0,Missing,,,,Missing,,,,Missing,,,,5.6,,2.0,0.6666666666666666,1.3333333333333335
Takehiro Tomiyasu,Arsenal,Right Back,24,2022/23,79.0,muscular problems,"Nov 3, 2022","Nov 15, 2022",win,Leeds,1.0,6.0,draw,Southampton,0.0,7.0,win,Nottm Forest,5.0,6.5,win,Chelsea,1.0,win,Wolves,2.0,Missing,,,win,Brighton,2.0,5.3,draw,Newcastle,0.0,6.0,win,Tottenham,2.0,,6.5,5.65,2.0,1.5,0.5
Takehiro Tomiyasu,Arsenal,Right Back,24,2022/23,79.0,Knee surgery,"Mar 16, 2023","Jul 1, 2023",Missing,,,,win,Bournemouth,1.0,6.8,win,Fulham,3.0,6.0,win,Crystal Palace,3.0,win,Leeds,3.0,draw,Liverpool,0.0,Missing,,,,Missing,,,,Missing,,,,6.4,,2.0,2.0,0.0
Oleksandr Zinchenko,Arsenal,Left Back,26,2022/23,82.0,Knee problems and Calf injury,"Aug 26, 2022","Nov 1, 2022",win,Crystal Palace,2.0,7.7,win,Leicester,2.0,6.9,win,Bournemouth,3.0,7.0,win,Fulham,1.0,win,Aston Villa,1.0,win,Brentford,3.0,win,Chelsea,1.0,6.8,win,Wolves,2.0,7.0,win,West Ham,2.0,6.0,7.2,6.6000000000000005,2.3333333333333335,1.6666666666666667,0.6666666666666667
Oleksandr Zinchenko,Arsenal,Left Back,26,2022/23,82.0,unknown injury,"Apr 14, 2023","Apr 17, 2023",win,Crystal Palace,3.0,6.5,win,Leeds,3.0,7.0,draw,Liverpool,0.0,6.6,draw,West Ham,0.0,Missing,,,Missing,,,draw,Southampton,0.0,6.0,lose,Man City,-3.0,5.6,win,Chelsea,2.0,7.0,6.7,6.2,2.0,0.0,2.0
Oleksandr Zinchenko,Arsenal,Left Back,26,2022/23,82.0,Calf muscle tear,"May 7, 2023","Aug 18, 2023",lose,Man City,-3.0,5.6,lose,Chelsea,2.0,7.0,lose,Newcastle,2.0,6.8,lose,Brighton,-3.0,lose,Nottm Forest,-1.0,win,Wolves,5.0,Missing,,,,Missing,,,,Missing,,,,6.466666666666666,,0.3333333333333333,0.3333333333333333,0.0
Gabriel Jesus,Arsenal,Center Forward,26,2022/23,85.0,Knee injury,"Dec 2, 2022","Mar 11, 2023",win,Nottm Forest,5.0,9.7,win,Chelsea,1.0,7.3,win,Wolves,2.0,6.5,win,West Ham,2.0,win,Brighton,2.0,draw,Newcastle,0.0,win,Fulham,3.0,7.0,win,Crystal Palace,3.0,6.0,win,Leeds,3.0,9.0,7.833333333333333,7.333333333333333,2.6666666666666665,1.3333333333333333,1.3333333333333333
Gabriel Martinelli,Arsenal,Left winger,23,2023/24,83.0,Hamstring injury,"Sep 17, 2023","Oct 7, 2023",draw,Fulham,0.0,7.0,win,Man United,2.0,7.2,win,Everton,1.0,5.7,draw,Tottenham,0.0,win,Bournemouth,4.0,Missing,,,win,Man City,1.0,7.2,draw,Chelsea,0.0,6.6,win,Sheffield,5.0,7.2,6.633333333333333,7.0,1.0,2.0,-1.0
Gabriel Martinelli,Arsenal,Left winger,23,2023/24,83.0,Foot injury,"Mar 5, 2024","Mar 29, 2024",win,Burnley,5.0,6.4,win,Newcastle,3.0,7.4,win,Sheffield,6.0,8.2,win,Brentford,1.0,Missing,,,Missing,,,draw,Man City,0.0,8.0,Missing,,,,win,Brighton,3.0,6.3,7.333333333333333,7.15,4.666666666666667,1.0,3.666666666666667
Bukayo Saka,Arsenal,Right winger,22,2023/24,86.0,unknown injury,"Mar 21, 2024","Apr 6, 2024",win,Sheffield,6.0,6.7,win,Brentford,1.0,6.8,lose,Man City,0.0,5.5,win,Luton Town,2.0,Missing,,,Missing,,,win,Brighton,3.0,7.3,lose,Aston Villa,-2.0,7.0,win,Wolves,2.0,7.1,6.333333333333333,7.133333333333333,2.3333333333333335,2.0,0.3333333333333335
Bukayo Saka,Arsenal,Right winger,22,2023/24,86.0,Thigh problems,"Oct 3, 2023","Oct 21, 2023",win,Everton,1.0,7.1,draw,Tottenham,0.0,7.9,win,Bournemouth,4.0,7.5,win,Man City,1.0,Missing,,,Missing,,,draw,Chelsea,0.0,6.9,win,Sheffield,5.0,6.5,lose,Newcastle,-1.0,6.8,7.5,6.733333333333333,1.6666666666666667,1.0,0.6666666666666667
Thomas Partey,Arsenal,Defensive Midfielder,31,2023/24,84.0,Groin injury,"Sep 2, 2023","Oct 3, 2023",win,Nottm Forest,1.0,7.6,win,Crystal Palace,1.0,7.6,draw,Fulham,0.0,6.9,win,Man United,2.0,win,Everton,1.0,draw,Tottenham,0.0,win,Man City,1.0,6.0,Missing,,,,Missing,,,,7.366666666666667,6.0,0.6666666666666666,1.0,-0.33333333333333337
Thomas Partey,Arsenal,Defensive Midfielder,31,2023/24,84.0,Hamstring injury,"Nov 9, 2023","Feb 29, 2024",Missing,,,,Missing,,,,Missing,,,,win,Burnley,2.0,win,Brentford,1.0,win,Wolves,1.0,win,Sheffield,6.0,6.8,Missing,,,,draw,Man City,0.0,5.9,,6.35,,1.3333333333333333,
Martin Ødegaard,Arsenal,Attacking Midfielder,25,2023/24,88.0,Hip problems,"Nov 3, 2023","Nov 22, 2023",win,Bournemouth,4.0,8.5,win,Man City,1.0,6.7,draw,Chelsea,0.0,6.0,lose,Newcastle,-1.0,win,Burnley,2.0,Missing,,,win,Brentford,1.0,6.5,win,Wolves,1.0,9.5,win,Luton Town,1.0,7.2,7.066666666666666,7.733333333333333,1.6666666666666667,0.5,1.1666666666666667
Ben White,Arsenal,Right Back,26,2023/24,82.0,Knee injury,"Nov 9, 2023","Nov 20, 2023",draw,Chelsea,0.0,6.1,win,Sheffield,5.0,6.9,lose,Newcastle,-1.0,6.3,win,Burnley,2.0,Missing,,,Missing,,,Missing,,,,win,Wolves,1.0,6.0,win,Luton Town,1.0,7.2,6.433333333333334,6.6,1.3333333333333333,2.0,-0.6666666666666667
Takehiro Tomiyasu,Arsenal,Right Back,25,2023/24,78.0,Calf injury,"Dec 3, 2023","Mar 20, 2024",win,Burnley,2.0,6.7,win,Brentford,1.0,7.4,win,Wolves,1.0,7.1,win,Luton Town,1.0,lose,Aston Villa,-1.0,win,Brighton,2.0,draw,Man City,0.0,6.5,win,Luton Town,2.0,6.2,win,Brighton,3.0,5.9,7.066666666666667,6.2,1.3333333333333333,0.6666666666666666,0.6666666666666666
Oleksandr Zinchenko,Arsenal,Left Back,27,2023/24,80.0,Calf problems,"Dec 30, 2023","Jan 18, 2024",win,Brighton,2.0,7.8,draw,Liverpool,0.0,6.8,lose,West Ham,-2.0,6.5,lose,Fulham,-1.0,Missing,,,Missing,,,win,Crystal Palace,5.0,7.8,win,Nottm Forest,1.0,8.0,win,Liverpool,2.0,6.0,7.033333333333334,7.266666666666667,0.0,-1.0,1.0
Gabriel Jesus,Arsenal,Center Forward,27,2023/24,82.0,Hamstring injury,"Oct 24, 2023","Nov 19, 2023",win,Bournemouth,4.0,6.7,win,Man City,1.0,6.5,draw,Chelsea,0.0,5.7,win,Sheffield,5.0,lose,Newcastle,-1.0,win,Burnley,2.0,win,Brentford,1.0,6.4,win,Wolves,1.0,5.9,win,Luton Town,1.0,8.6,6.3,6.966666666666666,1.6666666666666667,2.0,-0.33333333333333326
Gabriel Jesus,Arsenal,Center Forward,27,2023/24,82.0,Knee injury,"Jan 5, 2024","Jan 18, 2024",lose,Fulham,-1.0,6.0,win,Crystal Palace,5.0,7.5,win,Nottm Forest,1.0,7.9,win,Liverpool,2.0,win,West Ham,6.0,win,Burnley,5.0,win,Sheffield,6.0,6.0,win,Brentford,1.0,6.0,draw,Man City,0.0,6.6,7.133333333333333,6.2,1.6666666666666667,4.333333333333333,-2.666666666666666
Tyrone Mings,Aston Villa,Center Back,28,2019/20,75.0,Muscle strain,"Dec 9, 2019","Dec 31, 2019",lose,Leicester,-4.0,5.3,lose,Chelsea,1.0,5.7,draw,Man United,0.0,6.8,win,Norwich City,1.0,lose,Southampton,-2.0,lose,Sheffield,-2.0,win,Burnley,1.0,6.7,lose,Man City,-5.0,4.8,draw,Brighton,0.0,6.7,5.933333333333334,6.066666666666666,-1.0,-1.0,0.0
Jed Steer,Aston Villa,Goalkeeper,27,2019/20,70.0,Calf injury,"Nov 11, 2019","Jun 15, 2020",Missing,,,,Missing,,,,Missing,,,,win,Newcastle,2.0,draw,Man United,0.0,lose,Chelsea,-1.0,Missing,,,,Missing,,,,Missing,,,,,,,0.3333333333333333,
Anwar El Ghazi,Aston Villa,Right winger,24,2019/20,75.0,Knee injury,"Dec 2, 2019","Dec 7, 2019",draw,Man United,0.0,5.8,win,Newcastle,2.0,7.0,win,Wolves,1.0,6.2,lose,Chelsea,-1.0,Missing,,,Missing,,,lose,Sheffield,2.0,5.6,lose,Southampton,-2.0,5.8,win,Norwich City,1.0,6.2,6.333333333333333,5.866666666666666,1.0,-1.0,2.0
Matt Targett,Aston Villa,Left Back,24,2019/20,75.0,Muscle strain,"Jun 28, 2020","Jul 11, 2020",lose,Wolves,-1.0,6.3,draw,Newcastle,0.0,6.6,lose,Chelsea,-1.0,7.1,lose,Liverpool,-2.0,lose,Man United,-3.0,Missing,,,draw,Everton,0.0,6.6,win,Arsenal,1.0,6.7,draw,West Ham,0.0,6.0,6.666666666666667,6.433333333333334,-0.6666666666666666,-2.5,1.8333333333333335
Matt Targett,Aston Villa,Left Back,24,2019/20,75.0,Hamstring injury,"Dec 31, 2019","Jan 17, 2020",lose,Southampton,-2.0,6.0,lose,Watford,-3.0,6.7,win,Norwich City,1.0,6.2,win,Burnley,1.0,lose,Man City,-5.0,Missing,,,lose,Southampton,-2.0,6.4,draw,Brighton,0.0,6.7,win,Watford,1.0,6.8,6.3,6.633333333333334,-1.3333333333333333,-2.0,0.6666666666666667
Matt Targett,Aston Villa,Left Back,24,2019/20,75.0,Hamstring injury,"Aug 29, 2019","Sep 24, 2019",Missing,,,,Missing,,,,Missing,,,,lose,Crystal Palace,-1.0,draw,West Ham,0.0,win,Arsenal,-1.0,draw,Burnley,0.0,6.9,win,Norwich City,4.0,6.8,win,Brighton,1.0,8.7,,7.466666666666666,,-0.6666666666666666,
Jack Grealish,Aston Villa,Left winger,24,2019/20,80.0,Calf injury,"Oct 27, 2019","Nov 24, 2019",lose,Man City,-3.0,5.8,win,Brighton,1.0,9.5,win,Norwich City,4.0,8.2,lose,Liverpool,-1.0,lose,Wolves,-1.0,Missing,,,win,Newcastle,2.0,8.6,draw,Man United,0.0,7.8,lose,Chelsea,-1.0,6.5,7.833333333333333,7.633333333333333,0.6666666666666666,-1.0,1.6666666666666665
Neil Taylor,Aston Villa,Left Back,31,2019/20,70.0,Hamstring injury,"Jul 13, 2020","Jul 25, 2020",draw,West Ham,0.0,6.7,lose,Man United,-3.0,6.3,lose,Liverpool,-2.0,7.1,win,Crystal Palace,2.0,draw,Everton,0.0,win,Arsenal,1.0,Missing,,,,Missing,,,,Missing,,,,6.7,,-1.6666666666666667,1.0,-2.666666666666667
Björn Engels,Aston Villa,Center Back,25,2019/20,76.0,Groin injury,"Nov 3, 2019","Nov 30, 2019",lose,Liverpool,-1.0,5.8,lose,Man City,-3.0,4.7,win,Brighton,1.0,6.1,lose,Wolves,-1.0,win,Newcastle,2.0,draw,Man United,0.0,Missing,,,,Missing,,,,lose,Leicester,-3.0,5.5,5.533333333333334,5.5,-1.0,0.3333333333333333,-1.3333333333333333
Tom Heaton,Aston Villa,Goalkeeper,34,2019/20,83.0,Cruciate ligament injury,"Jan 1, 2020","Nov 7, 2020",lose,Watford,-3.0,5.9,win,Norwich City,1.0,7.8,lose,Southampton,-2.0,6.3,win,Burnley,1.0,lose,Man City,-5.0,draw,Brighton,0.0,Missing,,,,Missing,,,,Missing,,,,6.666666666666667,,-1.3333333333333333,-1.3333333333333333,0.0
Tom Heaton,Aston Villa,Goalkeeper,34,2019/20,83.0,Calf strain,"Nov 10, 2019","Nov 25, 2019",lose,Liverpool,-1.0,6.0,win,Brighton,1.0,7.0,lose,Man City,-3.0,6.3,lose,Wolves,-1.0,Missing,,,Missing,,,win,Newcastle,2.0,7.8,draw,Man United,0.0,6.2,lose,Chelsea,-1.0,7.7,6.433333333333334,7.233333333333333,-1.0,-1.0,0.0
Matty Cash,Aston Villa,Right Back,24,2020/21,77.0,Hamstring injury,"Feb 18, 2021","Mar 7, 0202",draw,Brighton,0.0,6.0,win,Arsenal,1.0,6.7,lose,West Ham,-2.0,5.5,lose,Leicester,-1.0,win,Leeds,-1.0,lose,Sheffield,-1.0,Missing,,,,lose,Tottenham,-2.0,6.3,win,Fulham,2.0,6.2,6.066666666666666,6.25,-0.3333333333333333,-1.0,0.6666666666666667
Ezri Konsa,Aston Villa,Center Back,23,2020/21,77.0,bruise,"Dec 13, 2020","Dec 25, 2020",win,Wolves,1.0,6.4,lose,West Ham,-1.0,6.4,lose,Brighton,-1.0,7.3,draw,Burnley,0.0,win,West Brom,3.0,Missing,,,win,Crystal Palace,3.0,6.0,draw,Chelsea,0.0,6.1,lose,Man United,-1.0,5.9,6.7,6.0,-0.3333333333333333,1.5,-1.8333333333333333
Kortney Hause,Aston Villa,Center Back,25,2020/21,74.0,Ankle injury,"Jan 3, 2021","Apr 5, 2021",Missing,,,,draw,Chelsea,0.0,6.4,win,Crystal Palace,3.0,7.4,lose,Man City,-2.0,win,Newcastle,2.0,lose,Burnley,-1.0,Missing,,,,Missing,,,,Missing,,,,6.9,,1.5,-0.3333333333333333,1.8333333333333333
Bertrand Traoré,Aston Villa,Right winger,24,2020/21,76.0,Bruised ribs,"Nov 2, 2020","Nov 20, 2020",lose,Southampton,-1.0,5.2,lose,Leeds,-3.0,5.6,Missing,,,,win,Arsenal,3.0,Missing,,,Missing,,,lose,Brighton,-1.0,7.4,lose,West Ham,-1.0,6.2,win,Wolves,1.0,6.2,5.4,6.6000000000000005,-2.0,3.0,-5.0
Douglas Luiz,Aston Villa,Central Midfielder,23,2020/21,76.0,Hamstring injury,"Oct 25, 2020","Nov 25, 2020",lose,Leeds,-3.0,6.1,win,Leicester,1.0,6.5,win,Liverpool,5.0,6.2,lose,Brighton,-1.0,lose,Southampton,-1.0,win,Arsenal,3.0,lose,West Ham,-1.0,7.4,win,Wolves,-1.0,6.4,draw,Burnley,0.0,6.3,6.266666666666667,6.7,1.0,0.3333333333333333,0.6666666666666667
Mahmoud Trezeguet,Aston Villa,Left winger,26,2020/21,75.0,Head injury,"Dec 1, 2020","Jan 21, 2021",lose,West Ham,-1.0,6.4,lose,Brighton,-1.0,6.3,win,Arsenal,3.0,6.8,win,Wolves,-1.0,draw,Burnley,0.0,win,West Brom,3.0,Missing,,,,Missing,,,,lose,West Ham,-2.0,5.7,6.5,5.7,0.3333333333333333,0.6666666666666666,-0.3333333333333333
Morgan Sanson,Aston Villa,Central Midfielder,26,2020/21,77.0,Knee problems,"Apr 9, 2021","Aug 29, 2021",win,Fulham,2.0,6.6,lose,Tottenham,-2.0,5.9,draw,Newcastle,0.0,6.0,lose,Liverpool,-1.0,lose,Man City,-1.0,draw,West Brom,0.0,Missing,,,,Missing,,,,Missing,,,,6.166666666666667,,0.0,-0.6666666666666666,0.6666666666666666
Ross Barkley,Aston Villa,Central Midfielder,27,2020/21,78.0,Hamstring injury,"Nov 21, 2020","Jan 19, 2021",win,Arsenal,3.0,7.7,lose,Southampton,-1.0,6.7,lose,Leeds,-3.0,6.5,lose,Brighton,-1.0,lose,West Ham,-1.0,win,Wolves,1.0,lose,Man City,-2.0,5.7,win,Newcastle,2.0,6.2,lose,Burnley,-1.0,6.8,6.966666666666666,6.233333333333333,-0.3333333333333333,-0.3333333333333333,0.0
Emiliano Martínez,Aston Villa,Goalkeeper,29,2021/22,84.0,Knee problems,"May 20, 2022","May 29, 2022",draw,Crystal Palace,0.0,6.6,lose,Liverpool,-1.0,6.3,draw,Burnley,0.0,6.8,lose,Man City,-1.0,Missing,,,Missing,,,Missing,,,,Missing,,,,Missing,,,,6.566666666666666,,-0.3333333333333333,-1.0,0.6666666666666667
Ezri Konsa,Aston Villa,Center Back,24,2021/22,79.0,Knee injury,"May 15, 2022","Jul 10, 2022",lose,Liverpool,-1.0,6.0,win,Burnley,2.0,6.1,Missing,,,,draw,Crystal Palace,0.0,draw,Burnley,0.0,lose,Man City,-2.0,Missing,,,,Missing,,,,Missing,,,,6.05,,0.5,-0.6666666666666666,1.1666666666666665
Lucas Digne,Aston Villa,Left Back,28,2021/22,84.0,Shoulder injury,"Apr 9, 2022","Apr 25, 2022",lose,Wolves,-1.0,6.5,Missing,,,,lose,West Ham,-1.0,6.2,Missing,,,draw,Leicester,0.0,Missing,,,win,Burnley,2.0,6.8,win,Norwich City,2.0,6.0,lose,Liverpool,-1.0,6.6,6.35,6.466666666666666,-1.0,0.0,-1.0
Lucas Digne,Aston Villa,Left Back,28,2021/22,84.0,Hamstring injury,"Mar 14, 2022","Mar 21, 2022",Missing,,,,win,Leeds,3.0,7.2,Missing,,,,lose,Arsenal,-1.0,Missing,,,Missing,,,Missing,,,,lose,Tottenham,-4.0,6.3,Missing,,,,7.2,6.3,3.0,-1.0,4.0
Leon Bailey,Aston Villa,Right winger,24,2021/22,81.0,Thigh problems,"Dec 5, 2021","Feb 10, 2022",lose,Man City,-1.0,5.8,win,Crystal Palace,1.0,6.1,win,Brighton,2.0,6.0,win,Leicester,1.0,lose,Liverpool,-1.0,win,Norwich City,2.0,lose,Newcastle,-1.0,5.4,lose,Watford,-1.0,5.0,Missing,,,,5.966666666666666,5.2,0.6666666666666666,0.6666666666666666,0.0
Marvelous Nakamba,Aston Villa,Defensive Midfielder,25,2021/22,75.0,Knee injury,"Dec 11, 2021","Mar 31, 2022",lose,Leicester,-3.0,5.7,lose,Liverpool,-1.0,6.2,lose,Man City,-1.0,6.2,lose,Sheffield,-2.0,lose,Southampton,-2.0,win,Norwich City,1.0,Missing,,,,lose,Chelsea,-1.0,5.7,Missing,,,,6.033333333333334,5.7,-1.6666666666666667,-1.0,-0.6666666666666667
Morgan Sanson,Aston Villa,Central Midfielder,27,2021/22,76.0,Knock,"Apr 10, 2022","May 8, 2022",win,Fulham,2.0,6.6,lose,Tottenham,-2.0,5.9,draw,Newcastle,0.0,6.0,lose,Liverpool,-1.0,win,Norwich City,2.0,lose,Chelsea,-2.0,Missing,,,,Missing,,,,Missing,,,,6.166666666666667,,0.0,-0.3333333333333333,0.3333333333333333
Morgan Sanson,Aston Villa,Central Midfielder,27,2021/22,76.0,Ill,"Oct 30, 2021","Nov 6, 2021",lose,Wolves,-1.0,6.2,Missing,,,,Missing,,,,lose,West Ham,-3.0,lose,Southampton,-1.0,Missing,,,Missing,,,,Missing,,,,Missing,,,,6.2,,-1.0,-2.0,1.0
Morgan Sanson,Aston Villa,Central Midfielder,27,2021/22,76.0,Coronavirus,"Dec 12, 2021","Dec 25, 2021",lose,Liverpool,-1.0,6.0,Missing,,,,Missing,,,,win,Norwich City,2.0,Missing,,,Missing,,,lose,Brentford,-1.0,5.9,draw,Man United,0.0,6.0,Missing,,,,6.0,5.95,-1.0,2.0,-3.0
Matty Cash,Aston Villa,Right Back,25,2022/23,79.0,Calf injury,"Mar 29, 2023","May 3, 2023",win,Bournemouth,3.0,7.4,draw,West Ham,0.0,6.1,win,Crystal Palace,1.0,6.9,win,Chelsea,2.0,win,Leicester,1.0,win,Nottm Forest,2.0,Missing,,,,draw,Liverpool,0.0,6.2,win,Tottenham,1.0,5.9,6.8,6.050000000000001,1.3333333333333333,1.6666666666666667,-0.3333333333333335
