Name,Player_Avg_Rating_Before_Injury,Team_Avg_GD_Before_Injury,Team_Avg_Result_Before_Injury,Team_Avg_GD_Missed,Team_Avg_Result_Missed,Player_Avg_Rating_After_Injury,Team_Avg_GD_After,Team_Avg_Result_After,Player_Rating_Delta,Team_Performance_Drop,Team_Rebound_Index
Aaron Hickey,5.966666666666666,-1.0,0.8333333333333334,-0.8333333333333334,1.1666666666666667,6.333333333333333,1.3333333333333333,2.3333333333333335,0.36666666666666714,-0.16666666666666663,2.1666666666666665
Aaron Lennon,5.966666666666666,-2.3333333333333335,1.0,-1.3333333333333333,0.0,5.3,-3.0,0.0,-0.6666666666666661,-1.0000000000000002,-1.6666666666666667
Aaron Wan-Bissaka,6.347222222222222,-0.5833333333333334,1.0833333333333333,0.2222222222222222,1.75,6.538888888888889,0.75,1.75,0.19166666666666643,-0.8055555555555556,0.5277777777777778
Abdoulaye Doucouré,6.816666666666666,1.027777777777778,2.0833333333333335,-1.0833333333333333,0.4166666666666667,6.277777777777778,-0.2222222222222222,1.3055555555555556,-0.5388888888888888,2.111111111111111,0.861111111111111
Alex Iwobi,6.072222222222223,0.0,1.5555555555555554,0.0,1.4444444444444444,6.3,-1.3333333333333333,0.5,0.22777777777777697,0.0,-1.3333333333333333
Alexander Isak,6.877777777777777,0.4444444444444445,1.3333333333333333,0.7777777777777778,1.777777777777778,6.455555555555555,0.11111111111111109,1.888888888888889,-0.4222222222222225,-0.3333333333333333,-0.6666666666666667
Alexandre Lacazette,6.683333333333333,-0.2222222222222222,1.277777777777778,0.2777777777777778,1.4444444444444446,6.016666666666667,0.6666666666666666,1.8333333333333333,-0.6666666666666661,-0.5,0.38888888888888884
Allan,6.716666666666666,1.3333333333333333,2.6666666666666665,0.5,2.0,6.3999999999999995,-0.5,1.1666666666666667,-0.31666666666666643,0.8333333333333333,-1.0
Allan Saint-Maximin,6.761388888888888,0.2833333333333333,1.5888888888888892,0.0,1.4642857142857144,6.3447619047619055,-0.08571428571428573,1.3238095238095238,-0.4166269841269825,0.2833333333333333,-0.08571428571428573
Amadou Onana,6.416666666666667,-0.3333333333333333,1.3333333333333333,0.3333333333333333,1.6666666666666667,6.616666666666667,-0.5,1.1666666666666667,0.20000000000000018,-0.6666666666666666,-0.8333333333333333
Ameen Al-Dakhil,6.55,-1.0,0.5,-3.3333333333333335,0.0,,,,,2.3333333333333335,
Andros Townsend,5.833333333333333,-1.3333333333333333,1.0,-0.5,0.5,5.8999999999999995,-1.6666666666666667,0.0,0.06666666666666643,-0.8333333333333333,-1.1666666666666667
André Gomes,6.458333333333333,0.5833333333333334,2.0833333333333335,-0.8166666666666668,0.7666666666666666,6.146666666666666,-0.9166666666666666,0.6999999999999998,-0.3116666666666674,1.4000000000000001,-0.09999999999999987
Andy Carroll,5.972222222222222,-0.5,1.277777777777778,-0.8333333333333334,0.75,6.022222222222222,0.4444444444444445,1.5555555555555556,0.04999999999999982,0.33333333333333337,1.277777777777778
Anthony Gordon,6.533333333333332,-0.888888888888889,0.5555555555555555,0.0,1.9166666666666667,5.983333333333334,1.8333333333333333,2.5,-0.549999999999998,-0.888888888888889,1.8333333333333333
Anthony Martial,6.642857142857143,0.753968253968254,2.0753968253968256,0.36190476190476195,2.0952380952380953,6.806666666666666,0.3444444444444444,1.8888888888888886,0.16380952380952252,0.392063492063492,-0.017460317460317565
Anwar El Ghazi,6.333333333333333,1.0,2.3333333333333335,-1.0,0.0,5.866666666666666,0.3333333333333333,1.0,-0.4666666666666668,2.0,1.3333333333333333
Ashley Barnes,5.62,-0.4666666666666666,0.9333333333333332,-0.7555555555555555,1.0444444444444445,6.035,0.06666666666666665,1.1833333333333333,0.41500000000000004,0.2888888888888889,0.8222222222222222
Ashley Westwood,6.566666666666666,0.8333333333333334,2.0,-1.0,1.5,6.833333333333333,0.3333333333333333,2.0,0.2666666666666666,1.8333333333333335,1.3333333333333333
Ashley Young,6.533333333333334,2.0,3.0,-0.3333333333333333,1.0,5.699999999999999,-0.6666666666666666,0.6666666666666666,-0.8333333333333348,2.3333333333333335,-0.3333333333333333
Axel Tuanzebe,5.577777777777778,0.16666666666666666,1.4444444444444446,-0.5,1.3333333333333333,5.375,1.0,2.5,-0.2027777777777784,0.6666666666666666,1.5
Ben Davies,6.516666666666667,0.5,2.0,0.9444444444444445,1.8611111111111114,6.625,-0.8333333333333334,0.8333333333333334,0.10833333333333339,-0.44444444444444453,-1.777777777777778
